name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Zèkanmey,ABOMEY-CALAVI,Golo-Djigbé,6.55181,2.304305,3.3,4,90087,5,5,0,100.0,0,0,0,False,GOOD
Sènadé,COTONOU,2ème Arrondissement,6.379689,2.457251,2.9,4,90087,5,6,0,120.0,0,0,0,False,GOOD
Agontinkon,COTONOU,8ème Arrondissement,6.377384,2.407534,4.9,4,90087,7,8,0,114.3,0,0,2,False,GOOD
Yénawa-Daho,COTONOU,2ème Arrondissement,6.388404,2.472149,15.6,4,90087,11,8,3,72.7,0,0,0,False,PARTIAL
Avotrou-Houézèkomè,COTONOU,1er Arrondissement,6.376949,2.475943,11.0,6,90087,9,9,1,100.0,-2,0,2,False,GOOD
Ahogbohoué-Cité-De-l'Expérience,COTONOU,13ème Arrondissement,6.378693,2.373729,25.5,2,90087,3,2,1,66.7,0,0,2,False,OSM_DATA_LIMIT
Atrokpo-Codji,ABOMEY-CALAVI,Godomey,6.388,2.321814,11.4,7,90087,8,10,0,125.0,3,0,4,True,GOOD
Gbodjoko,ABOMEY-CALAVI,Zinvié,6.58516,2.32281,12.6,3,90087,4,4,0,100.0,1,0,0,False,GOOD
Aïdjèdo-Ahito,COTONOU,6ème Arrondissement,6.377219,2.4219,3.5,5,90087,8,11,0,137.5,-1,0,2,False,GOOD
Ahouato,ABOMEY-CALAVI,Ouèdo,6.420382,2.274508,17.8,3,90087,6,5,1,83.3,0,0,0,False,GOOD
Xwlacôdji-Plage,COTONOU,5ème Arrondissement,6.352469,2.440702,6.9,3,90087,3,2,1,66.7,0,0,0,False,OSM_DATA_LIMIT
Gbégamey-Dodo-Ayidjè,COTONOU,11ème Arrondissement,6.367586,2.409717,4.8,4,90087,4,6,0,150.0,0,0,0,False,GOOD
Hlacômey,COTONOU,3ème Arrondissement,6.388684,2.440824,5.2,4,90087,9,14,1,155.6,2,0,4,False,GOOD
