name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Houénoussou,COTONOU,13ème Arrondissement,6.366685,2.391291,5.3,6,90099,88,65,26,73.9,4,0,3,True,PARTIAL
"Aïdégnon
",ABOMEY-CALAVI,Togba,6.450654,2.326256,25.7,3,90099,111,81,30,73.0,13,0,0,False,PARTIAL
"Zounga
",ABOMEY-CALAVI,Godomey,6.380857,2.292517,11.5,4,90099,81,70,11,86.4,0,0,0,False,PARTIAL
"Abikouholi
",ABOMEY-CALAVI,Godomey,6.373425,2.324371,9.0,3,90099,62,52,10,83.9,1,0,0,False,PARTIAL
Togbin-Fandji,ABOMEY-CALAVI,Godomey,6.354732,2.330312,4.6,4,90099,55,43,13,78.2,2,0,0,False,PARTIAL
Gbéto,COTONOU,5ème Arrondissement,6.360141,2.425343,6.7,4,90099,59,39,20,66.1,6,0,2,True,PARTIAL
Sèdomey,ABOMEY-CALAVI,Godomey,6.404703,2.341502,9.1,4,90099,98,69,30,70.4,18,0,13,True,PARTIAL
Bozoun,ABOMEY-CALAVI,Kpanroun,6.684059,2.392703,12.9,2,90099,5,4,1,80.0,0,0,0,False,GOOD
Agbondjèdo,COTONOU,8ème Arrondissement,6.375052,2.409389,11.5,4,90099,61,56,12,91.8,23,0,0,False,PARTIAL
Fifadji-Houto (Jak),COTONOU,4ème Arrondissement,6.36292,2.459258,10.7,3,90099,77,40,40,51.9,0,0,2,False,PARTIAL
Missogbé,COTONOU,10ème Arrondissement,6.381107,2.391582,5.4,4,90099,87,78,17,89.7,9,1,9,False,PARTIAL
Agamandin,ABOMEY-CALAVI,Abomey-Calavi,6.459126,2.359418,4.5,4,90099,86,71,15,82.6,5,0,0,True,PARTIAL
Aïdjèdo-Gbègo,COTONOU,6ème Arrondissement,6.382621,2.42775,5.1,4,90099,53,40,14,75.5,13,0,0,True,PARTIAL
